"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20110101 ~ 20111231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 대치동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","189.98","201101","19","279,000","4","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","201110","19","168,000","8","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","158.54","201111","7","230,000","9","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","201112","16","170,000","4","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","201112","17","166,000","3","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","84.69","201106","24","122,000","12","1984","남부순환로 2912",""," ","-","-"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","127.78","201106","27","187,000","11","1984","남부순환로 2912",""," ","-","-"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","127.78","201108","25","196,000","5","1984","남부순환로 2912",""," ","-","-"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","84.69","201109","2","128,000","9","1984","남부순환로 2912",""," ","-","-"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","127.78","201109","22","215,000","14","1984","남부순환로 2912",""," ","-","-"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","84.69","201109","30","125,000","7","1984","남부순환로 2912",""," ","-","-"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","84.69","201112","17","122,000","7","1984","남부순환로 2912",""," ","-","-"
"서울특별시 강남구 대치동","612","0612","0000","국제","84.69","201101","26","99,000","9","1983","남부순환로395길 30",""," ","-","-"
