"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20100101 ~ 20101231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 대치동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","158.54","201002","5","260,000","10","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","201003","16","130,500","15","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","158.54","201004","16","77,000","2","1983","선릉로 120",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","201005","4","205,000","6","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","201007","7","127,000","8","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","201009","1","53,000","5","1983","선릉로 120",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","158.54","201009","17","211,000","14","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","201010","10","119,000","5","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","201010","12","174,000","11","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","201011","1","205,000","11","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","201011","6","118,500","4","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","201011","8","120,500","5","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","201011","10","122,000","6","1983","남부순환로 2914",""," ","-","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","201011","12","210,000","14","1983","남부순환로 2914",""," ","-","-"
